
2024/03/11 (10:42:43) | ===> btop++ v.1.3.2
2024/03/11 (10:42:43) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/11 (10:43:19) | ===> btop++ v.1.3.2
2024/03/11 (10:43:19) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/11 (11:29:42) | ===> btop++ v.1.3.2
2024/03/11 (11:29:42) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/12 (11:04:46) | ===> btop++ v.1.3.2
2024/03/12 (11:04:46) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/14 (09:45:37) | ===> btop++ v.1.3.2
2024/03/14 (09:45:37) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/14 (19:34:32) | ===> btop++ v.1.3.2
2024/03/14 (19:34:32) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/17 (11:44:26) | ===> btop++ v.1.3.2
2024/03/17 (11:44:26) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/18 (12:16:54) | ===> btop++ v.1.3.2
2024/03/18 (12:16:54) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/18 (15:53:12) | ===> btop++ v.1.3.2
2024/03/18 (15:53:12) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/24 (09:57:22) | ===> btop++ v.1.3.2
2024/03/24 (09:57:22) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/24 (18:12:01) | ===> btop++ v.1.3.2
2024/03/24 (18:12:01) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/24 (18:12:40) | ===> btop++ v.1.3.2
2024/03/24 (18:12:40) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/26 (09:21:08) | ===> btop++ v.1.3.2
2024/03/26 (09:21:08) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/07 (15:07:58) | ===> btop++ v.1.3.2
2024/04/07 (15:07:58) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/14 (09:16:05) | ===> btop++ v.1.3.2
2024/04/14 (09:16:05) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/04 (16:21:34) | ===> btop++ v.1.3.2
2024/06/04 (16:21:34) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/04 (16:21:43) | ===> btop++ v.1.3.2
2024/06/04 (16:21:43) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/04 (16:23:22) | ===> btop++ v.1.3.2
2024/06/04 (16:23:22) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/04 (16:24:02) | ===> btop++ v.1.3.2
2024/06/04 (16:24:02) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/05 (09:20:50) | ===> btop++ v.1.3.2
2024/06/05 (09:20:50) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/05 (09:21:16) | ===> btop++ v.1.3.2
2024/06/05 (09:21:16) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/05 (09:31:13) | ===> btop++ v.1.3.2
2024/06/05 (09:31:13) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/06 (00:52:04) | ===> btop++ v.1.3.2
2024/06/06 (00:52:04) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/06 (07:56:14) | ===> btop++ v.1.3.2
2024/06/06 (07:56:14) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/06 (07:57:37) | ===> btop++ v.1.3.2
2024/06/06 (07:57:37) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/25 (08:51:15) | ===> btop++ v.1.3.2
2024/07/25 (08:51:15) | ERROR: Stall in Runner thread, restarting!
